diameter,press_d,,press_f,force
"372,36","10,498",,"9,946","7,0397"
"398,15","20,516",,"20,024","7,0505"
"425,42","30,505",,"30,038","6,9391"
"460,09","40,406",,"39,988","6,8278"
"509,29","50,338",,"50,131","6,6386"
549,"60,034",,"60,145","6,3162"
"586,94","70,494",,"70,063","5,9826"
"615,99","80,483",,"79,981","5,8046"
"627,56","90,676",,"90,091","5,7044"
"637,05","100,4",,"100,009","5,7041"
"643,29","110,269",,"109,991","5,8371"
"646,27","120,315",,"120,037","5,9591"
"646,28","130,273",,"129,955","6,0032"
"648,37","140,26",,"140,065","6,0585"
